request_id,timestamp,queue_waiting_before,tpot_ms,latency,batch_size,action
840,840,0.0,32.04954385757446,3.2049543857574463,17.0,NONE
850,850,0.0,30.575273036956787,3.0575273036956787,99.0,NONE
860,860,0.0,30.683352947235107,3.0683352947235107,90.0,NONE
870,870,0.0,30.76343382558515,2.860999345779419,94.0,NONE
880,880,0.0,52.8690367937088,0.8459045886993408,99.0,SCALE_UP
890,890,0.0,31.122310161590576,3.1122310161590576,65.0,NONE
900,900,0.0,31.29676103591919,3.129676103591919,17.0,NONE
910,910,2.0,30.90423583984375,3.090423583984375,19.0,NONE
920,920,2.0,31.349961757659912,3.134996175765991,19.0,NONE
930,930,0.0,31.078016757965088,3.107801675796509,65.0,NONE
940,940,0.0,406.090259552002,0.4060902595520019,68.0,SCALE_UP
950,950,0.0,32.636985778808594,3.26369857788086,17.0,NONE
