request_id,success,latency,prompt_tokens,generated_tokens,tokens_per_sec,ttft_ms,tbt_ms,tpot_ms,queue_waiting_before,queue_running_before,queue_waiting_after,queue_running_after,batch_size
4855,True,0.7091588973999023,0,99,139.6019994432543,32.51051902770996,6.9045752895121675,7.1632211858576,0.0,0.0,0.0,0.0,0.0
4856,True,0.6687242984771729,0,100,149.5384573698327,49.9567985534668,6.2501767669061215,6.6872429847717285,0.0,0.0,0.0,18.0,18.0
4857,True,0.7245430946350098,0,100,138.01801540924936,79.44750785827637,6.516117038148822,7.245430946350098,0.0,0.0,0.0,0.0,0.0
4858,True,0.6842424869537354,0,100,146.14701937788533,49.315690994262695,6.413401979388612,6.8424248695373535,0.0,0.0,0.0,0.0,0.0
4859,True,0.735476016998291,0,100,135.96636421692097,88.03200721740723,6.53983848263519,7.35476016998291,0.0,0.0,0.0,0.0,0.0
4860,True,0.7079071998596191,0,100,141.26145350666076,46.59223556518555,6.679949134287208,7.079071998596191,0.0,0.0,0.0,3.0,3.0
4861,True,0.721754789352417,0,89,123.31057765457135,45.9294319152832,7.679833607240156,8.109604374746258,0.0,3.0,0.0,16.0,16.0
4862,True,0.2946324348449707,0,12,40.72871340969009,123.03376197814941,15.599879351529209,24.55270290374756,0.0,6.0,0.0,42.0,42.0
4863,True,0.6863281726837158,0,50,72.85144627603938,106.58764839172363,11.831439271265147,13.726563453674316,0.0,40.0,0.0,37.0,37.0
4864,True,0.7415428161621094,0,74,99.791945100339,87.5394344329834,8.958950434645562,10.020848867055532,0.0,35.0,0.0,31.0,31.0
4865,True,0.7399873733520508,0,87,117.56957366164346,106.1406135559082,7.370311160420263,8.505601992552307,0.0,34.0,0.0,41.0,41.0
4866,True,0.7837798595428467,0,84,107.17295038557698,111.23824119567871,8.10291106442371,9.330712613605318,0.0,31.0,0.0,29.0,29.0
4867,True,0.7837972640991211,0,77,98.23968968366081,203.1700611114502,7.639831618258827,10.179185248040534,0.0,26.0,0.0,45.0,45.0
4868,True,0.6914482116699219,0,57,82.43567491821096,108.89935493469238,10.402658155986241,12.130670380174069,0.0,27.0,0.0,46.0,46.0
4869,True,0.6167049407958984,0,53,85.94061194256041,30.802488327026367,11.267354855170616,11.635942279167896,0.0,50.0,0.0,50.0,50.0
4870,True,0.6969101428985596,0,60,86.09431303503563,67.79241561889648,10.66301232677395,11.615169048309326,0.0,50.0,0.0,10.0,10.0
4871,True,0.7166240215301514,0,85,118.61170913376046,62.1950626373291,7.790820939200265,8.430870841531192,0.0,1.0,0.0,0.0,0.0
4872,True,0.6933329105377197,0,100,144.23085718294294,56.08487129211426,6.436848881268742,6.933329105377197,0.0,0.0,0.0,0.0,0.0
